CPF,nome,S,nascimento,relacionamento,depent,salario,gastos,residencia,bairo,resultado
35214879652,Ana,F,03-12-90,S,2,3500,1500,P,Barra da Tijuca,A
87541236985,Pedro,M,07-25-85,C,1,2800,1000,A,Copacabana,A
96325874125,Maria,F,11-08-78,C,4,5000,3000,F,Ipanema,A
12345678901,João,M,02-19-95,S,0,1800,800,P,Tijuca,I
45678912301,Carla,F,05-30-82,V,3,4200,2500,P,Botafogo,A
78912345601,José,M,01-05-70,C,5,6000,4000,A,Leblon,A
14725836901,Luciana,F,09-22-92,S,1,2100,900,X,Centro,I
25836914701,Ricardo,M,04-14-88,V,,3800,2000,P,Santa Teresa,A
36914725801,Patrícia,F,12-28-75,C,,4700,2800,F,Jardim Botânico,A
47125836901,Fernando,M,06-07-65,C,,8000,5500,A,Gávea,A
58236914701,Aline,F,10-10-80,S,,2900,1200,P,Flamengo,A
69347125801,Gustavo,M,03-03-93,C,,3100,1300,X,Laranjeiras,I
70458236901,Juliana,F,07-17-89,C,,5500,3200,A,Catete,A
81569347101,Marcos,M,08-21-77,S,,1900,950,P,Glória,I
92670458201,Mariana,F,01-11-84,S,,4000,2100,F,Urca,A
10111213141,Felipe,M,02-06-91,C,,2600,1100,A,Maracanã,A
11223344556,Camila,F,06-24-79,C,,6500,4500,X,Vila Isabel,A
12345678912,Lucas,M,11-13-86,V,,3700,1800,P,Grajaú,A
13456789123,Beatriz,F,08-09-74,S,,4800,2900,A,Andaraí,A
14567891234,Paulo,M,03-02-94,C,,1500,700,P,Barra da Tijuca,I
15678912345,Isabela,F,05-18-83,C,,3900,2100,F,Copacabana,A
16789123456,Daniel,M,10-27-76,S,,2300,1050,X,Ipanema,I
17891234567,Fernanda,F,01-01-90,V,,3400,,P,Tijuca,A
18912345678,Rodrigo,M,09-16-87,C,4,5200,,A,Botafogo,A
19012345678,Amanda,F,12-29-72,C,5,7000,,P,Leblon,A
20123456789,Leonardo,M,04-04-68,S,6,9000,,F,Santa Teresa,A
21234567890,Sofia,F,07-15-81,S,1,2700,,A,Jardim Botânico,A
22345678901,Marcelo,M,08-23-96,C,0,1600,,X,Gávea,I
23456789012,Lívia,F,06-06-85,C,3,4100,2200,P,Flamengo,A
24567890123,Vitor,M,03-20-71,V,2,3600,1900,F,Laranjeiras,A
25678901234,Elaine,F,10-12-89,C,4,5800,3800,A,Catete,A
26789012345,Diego,M,07-08-78,S,1,2400,1000,P,Glória,A
27890123456,Priscila,F,02-14-83,C,3,4600,2700,A,Urca,A
28901234567,Renato,M,11-26-91,C,0,1700,850,F,Maracanã,I
29012345678,Lara,F,09-05-73,V,5,7500,5200,P,Vila Isabel,A
30123456789,Bruno,M,12-10-86,C,2,3200,1400,A,Grajaú,A
31234567890,Laura,F,04-17-80,S,1,2000,900,X,Andaraí,I
32345678901,Gustavo,M,08-21-90,C,3,4500,2500,F,Centro,A
33456789012,Fernanda,F,06-03-75,V,4,5000,3000,P,Leblon,A
34567890123,Thiago,M,01-18-88,C,1,2800,1200,A,Copacabana,A
35678901234,Camila,F,07-29-82,S,2,3300,1500,X,Ipanema,A
36789012345,Alexandre,M,04-11-70,C,5,6200,4200,P,Tijuca,A
37890123456,Isabel,F,02-23-94,C,0,1900,800,A,Botafogo,I
38901234567,Rafael,M,05-07-87,V,3,4000,2300,F,Leblon,A
39012345678,Daniela,F,12-14-79,C,1,2500,1100,P,Santa Teresa,A
40123456789,Caio,M,10-20-85,S,2,3800,2000,A,Jardim Botânico,A
41234567890,Renata,F,08-01-81,C,4,5400,3400,X,Gávea,A
42345678901,Pedro,M,09-16-92,C,0,1700,750,P,Flamengo,I
43456789012,Carolina,F,03-24-76,V,5,6800,4800,A,Laranjeiras,A
44567890123,Eduardo,M,01-09-84,S,1,2200,950,F,Catete,I
45678901234,Viviane,F,05-13-90,C,3,4300,2600,P,Glória,A
46789012345,Gabriel,M,07-28-73,C,2,3000,1300,A,Urca,A
47890123456,Marina,F,02-04-88,S,1,2400,1000,X,Maracanã,A
48901234567,Vinícius,M,06-17-82,C,4,5100,3100,F,Vila Isabel,A
49012345678,Simone,F,11-25-77,V,6,7200,5000,P,Grajaú,A
50123456789,André,M,04-08-95,S,0,1800,850,A,Andaraí,I
51234567890,Letícia,F,09-15-89,C,2,3600,1700,X,Centro,A
52345678901,Alex,M,02-02-83,C,1,2900,1200,P,Leblon,A
53456789012,Bianca,F,06-10-78,S,3,4800,2800,A,Copacabana,A
54567890123,Lucas,M,11-21-93,V,4,5500,3500,F,Ipanema,A
55678901234,Joana,F,08-05-70,C,5,6500,4500,P,Tijuca,A
56789012345,Rafaela,F,03-19-86,C,2,3100,1400,A,Botafogo,A
57890123456,Daniel,M,10-27-76,S,1,2300,1050,X,Leblon,I
58901234567,Eduarda,F,01-01-90,V,2,3400,1600,P,Santa Teresa,A
59012345678,Ricardo,M,09-16-87,C,4,5200,3500,A,Jardim Botânico,A
60123456789,Luiza,F,12-29-72,C,5,7000,5000,P,Gávea,A
61234567890,Leonardo,M,04-04-68,S,6,9000,6000,F,Flamengo,A
62345678901,Sofia,F,07-15-81,S,1,2700,1150,A,Laranjeiras,A
63456789012,Marcelo,M,08-23-96,C,0,1600,750,X,Catete,I
64567890123,Lívia,F,06-06-85,C,3,4100,2200,P,Glória,A
65678901234,Vitor,M,03-20-71,V,2,3600,1900,F,Urca,A
66789012345,Elaine,F,10-12-89,C,4,5800,3800,A,Maracanã,A
67890123456,Diego,M,07-08-78,S,1,2400,1000,P,Vila Isabel,A
68901234567,Priscila,F,02-14-83,C,3,4600,2700,A,Grajaú,A
69012345678,Renato,M,11-26-91,C,0,1700,850,F,Andaraí,I
70123456789,Lara,F,09-05-73,V,5,7500,5200,P,Centro,A
71234567890,Bruno,M,12-10-86,C,2,3200,1400,A,Leblon,A
72345678901,Laura,F,04-17-80,S,1,2000,900,X,Copacabana,I
73456789012,Gustavo,M,08-21-90,C,3,4500,2500,F,Ipanema,A
74567890123,Fernanda,F,06-03-75,V,4,5000,3000,P,Tijuca,A
75678901234,Thiago,M,01-18-88,C,1,2800,1200,A,Botafogo,A
76789012345,Camila,F,07-29-82,S,2,3300,1500,X,Leblon,A
77890123456,Alexandre,M,04-11-70,C,5,6200,4200,P,Santa Teresa,A
78901234567,Isabel,F,02-23-94,C,0,1900,800,A,Jardim Botânico,I
79012345678,Rafael,M,05-07-87,V,3,4000,2300,F,Gávea,A
80123456789,Daniela,F,12-14-79,C,1,2500,1100,P,Flamengo,A
81234567890,Caio,M,10-20-85,S,2,3800,2000,A,Laranjeiras,A
82345678901,Renata,F,08-01-81,C,4,5400,3400,X,Catete,A
83456789012,Pedro,M,09-16-92,C,0,1700,750,P,Glória,I
84567890123,Carolina,F,03-24-76,V,5,6800,4800,A,Urca,A
85678901234,Eduardo,M,01-09-84,S,1,2200,950,F,Maracanã,I
86789012345,Viviane,F,05-13-90,C,3,4300,2600,P,Vila Isabel,A
87890123456,Gabriel,M,07-28-73,C,2,3000,1300,A,Grajaú,A
88901234567,Marina,F,02-04-88,S,1,2400,1000,X,Andaraí,A
89012345678,Vinícius,M,06-17-82,C,4,5100,3100,F,Centro,A
90123456789,Simone,F,11-25-77,V,6,7200,5000,P,Leblon,A
91234567890,André,M,04-08-95,S,0,1800,850,A,Copacabana,I
92345678901,Letícia,F,09-15-89,C,2,3600,1700,X,Ipanema,A
93456789012,Alex,M,02-02-83,C,1,2900,1200,P,Tijuca,A
94567890123,Bianca,F,06-10-78,S,3,4800,2800,A,Botafogo,A
95678901234,Lucas,M,11-21-93,V,4,5500,3500,F,Leblon,A
96789012345,Joana,F,08-05-70,C,5,6500,4500,P,Santa Teresa,A
97890123456,Rafaela,F,03-19-86,C,2,3100,1400,A,Jardim Botânico,A
98901234567,Daniel,M,10-27-76,S,1,2300,1050,X,Gávea,I
99012345678,Eduarda,F,01-01-90,V,2,3400,1600,P,Flamengo,A
10123456789,Ricardo,M,09-16-87,C,4,5200,3500,A,Laranjeiras,A
11234567890,Luiza,F,12-29-72,C,5,7000,5000,P,Catete,A
12345678901,Leonardo,M,04-04-68,S,6,9000,6000,F,Glória,A
13456789012,Sofia,F,07-15-81,S,1,2700,1150,A,Urca,A
14567890123,Marcelo,M,08-23-96,C,0,1600,750,X,Maracanã,I
15678901234,Lívia,F,06-06-85,C,3,4100,2200,P,Vila Isabel,A
16789012345,Vitor,M,03-20-71,V,2,3600,1900,F,Grajaú,A
17890123456,Elaine,F,10-12-89,C,4,5800,3800,A,Andaraí,A
18901234567,Diego,M,07-08-78,S,1,2400,1000,P,Centro,A
19012345678,Priscila,F,02-14-83,C,3,4600,2700,A,Leblon,A
20123456789,Renato,M,11-26-91,C,0,1700,850,F,Copacabana,I
21234567890,Lara,F,09-05-73,V,5,7500,5200,P,Ipanema,A
22345678901,Bruno,M,12-10-86,C,2,3200,1400,A,Tijuca,A
23456789012,Laura,F,04-17-80,S,1,2000,900,X,Botafogo,I
24567890123,Gustavo,M,08-21-90,C,3,4500,2500,F,Leblon,A
25678901234,Fernanda,F,06-03-75,V,4,5000,3000,P,Santa Teresa,A
26789012345,Thiago,M,01-18-88,C,1,2800,1200,A,Jardim Botânico,A
27890123456,Camila,F,07-29-82,S,2,3300,1500,X,Gávea,A
28901234567,Alexandre,M,04-11-70,C,5,6200,4200,P,Flamengo,A
29012345678,Isabel,F,02-23-94,C,0,1900,800,A,Laranjeiras,I
30123456789,Rafael,M,05-07-87,V,3,4000,2300,F,Catete,A
31234567890,Daniela,F,12-14-79,C,1,2500,1100,P,Glória,A
32345678901,Caio,M,10-20-85,S,2,3800,2000,A,Urca,A
33456789012,Renata,F,08-01-81,C,4,5400,3400,X,Maracanã,A
34567890123,Pedro,M,09-16-92,C,0,1700,750,P,Vila Isabel,I
35678901234,Carolina,F,03-24-76,V,5,6800,4800,A,Grajaú,A
36789012345,Eduardo,M,01-09-84,S,1,2200,950,F,Andaraí,I
37890123456,Viviane,F,05-13-90,C,3,4300,2600,P,Centro,A
38901234567,Gabriel,M,07-28-73,C,2,3000,1300,A,Leblon,A
