Cpf,Nome,Sexo,Data_Nasc,Est_Civil,Num_Dep,Renda,Despesa,Tp_Res,Bairro_Res,Result
99999999999,José,M,05-05-89,C,1,,1000,X,Centro,A
11111111111,Maria,F,07-10-85,S,5,3000,2000,P,Urca,A
33333333333,Ana,F,08-15-81,S,4,5000,3000,P,Leblon,A
55555555555,Pedro,M,09-10-75,C,3,1500,1500,A,Centro,A
22222222222,Mario,M,02-20-60,C,5,2500,1500,P,Leblon,A
0,Manoel,M,10-13-54,S,1,,1000,E,Barra,I
88888888888,Liza,F,04-27-80,S,2,4500,3000,F,Urca,A
77777777777,Marisa,F,07-14-80,C,3,1000,500,A,Recreio,I
66666666666,Carlos,M,11-06-63,V,7,4300,4000,F,Leblon,A
44444444444,Paula,F,12-15-82,C,3,1400,1000,A,Centro,I
,,,,,,,,,,

